병원명,주소,전화번호,홈페이지URL,시도,진료과목,YKIHO,네이버플레이스URL,플레이스ID,구글검색URL
365다움의원,"서울특별시 성동구 왕십리광장로 17, 왕십리민자역사 4층 (행당동)",02-2297-1755,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQxMyQzNjE4MzIjNTEjJDEjJDYjJDgz,https://place.naver.com/place/1950638728,1950638728,
365더튼튼의원,"서울특별시 구로구 경인로 191, 2,3층 (오류동)",02-2060-9111,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzMxIyQxIyQ3IyQ2MiQyNjE4MzIjNTEjJDEjJDIjJDgz,https://place.naver.com/place/19515372,19515372,
365문정사랑의원,"서울특별시 송파구 송이로32길 37, 1층 (문정동, 문정푸르지오아파트)",02-431-1339,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzQxIyQxIyQ3IyQ4MiQ0NjEwMDIjNDEjJDEjJDQjJDgz,https://place.naver.com/place/1811026993,1811026993,
365봄연합의원,"서울특별시 강서구 양천로 424, 가양역 데시앙플렉스 지식산업센터 227,236~240호 (등촌동)",02-2054-6717,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzMxIyQxIyQ3IyQ2MiQyNjEwMDIjNTEjJDEjJDYjJDgz,https://place.naver.com/place/1776970306,1776970306,
365서울늘열린의원,"서울특별시 강동구 양재대로 1343, 2층 (성내동)",02-484-4799,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQ3IyQ5OSQ0NjE0ODEjODEjJDEjJDYjJDgz,https://place.naver.com/place/1929312707,1929312707,
365서울연합의원,"서울특별시 중랑구 망우로 463, 2층 (망우동)",02-432-7580,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzUxIyQxIyQxIyQ4MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,https://place.naver.com/place/12907096,12907096,
365아이엠유의원,"서울특별시 송파구 송파대로 82, 장지역 104호 (장지동)",02-401-0365,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzMxIyQxIyQzIyQ3OSQzNjEwMDIjNDEjJDEjJDgjJDgz,https://place.naver.com/place/2079745844,2079745844,
365연세의원,"서울특별시 성동구 왕십리로 410, L동 3층 320호 (하왕십리동, 센트라스)",02-2291-2211,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQ2MiQ0NjE0ODEjNjEjJDEjJDAjJDgz,https://place.naver.com/place/716253784,716253784,
365열린의원,"서울특별시 강동구 올림픽로 664, 3층 (천호동, 대우한강베네시티)",02-478-0365,http://www.365medical.co.kr,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ5IyQ5OSQyNjE4MzIjNjEjJDEjJDAjJDgz,,,
365온(ON)가정의원,"서울특별시 중구 왕십리로 407, B1층 2호 (신당동, 신당 파인힐 하나유보라)",02-6212-0365,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNzEjJDEjJDgjJDgz,,,
365이화웃는세상의원,"서울특별시 은평구 진관3로 11, 3층 301호 (진관동, 은평뉴타운 힐데스하임)",02-1600-1527,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQ1IyQxMyQyNjE4MzIjNjEjJDEjJDQjJDgz,,,
365코이의원,"서울특별시 강남구 강남대로118길 12, 부경빌딩 3층, 4층일부, 5층 (논현동)",02-540-0442,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzMxIyQxIyQzIyQ5OSQzNjEwMDIjODEjJDEjJDIjJDgz,,,
365한국신통의원,"서울특별시 광진구 면목로 174, 2층 (중곡동)",02-499-0906,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQzIyQwMyQyNjE4MzIjNjEjJDEjJDQjJDgz,,,
365휘경사랑의원,"서울특별시 동대문구 망우로 77, 2층 (휘경동)",02-2245-3638,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ4OSQyNjE0ODEjNTEjJDEjJDIjJDgz,,,
365힐링의원,"서울특별시 강동구 천호대로 1087, 2층 201호 (천호동, 진넥스빌Ⅲ)",02-475-3650,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQ3OSQzNjE4MzIjNDEjJDEjJDgjJDgz,,,
747의원,"서울특별시 강남구 도산대로 122, 에메랄드타워 8층 (논현동)",02-546-0747,http://747clinic.com,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzIxIyQxIyQ1IyQ5MiQyNjE0ODEjODEjJDEjJDIjJDgz,,,
815의원,"서울특별시 강남구 논현로 822, 로뎀빌딩 4,5,6층 (신사동)",02-515-8150,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQwMyQzNjE4MzIjNDEjJDEjJDgjJDgz,,,
90일의기적의원,"서울특별시 강남구 도산대로 509, 에스디바이오센서 4층 (청담동)",02-512-7515,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz,,,
BJ 라임의원,"서울특별시 관악구 과천대로 939, 르메이에르강남타운2 (남현동)",02-588-1110,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQ4MiQzNjEyMjIjNTEjJDEjJDYjJDgz,,,
BLS(비엘에스)의원,"서울특별시 강남구 도산대로67길 13-5, BLS클리닉빌딩 1,2,3,6층 (청담동)",02-544-4841,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQxMyQzNjEwMDIjNjEjJDEjJDgjJDgz,,,
CNP차앤박피부과의원,"서울특별시 영등포구 여의나루로 53-1, 4층 (여의도동, 대오빌딩)",02-786-5123,http://www.cnpskin.com/hos/main.php?groupid=cnpskin03,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ5IyQ5MiQyNjE4MzIjNDEjJDEjJDgjJDgz,,,
Dr홍연합의원,"서울특별시 송파구 토성로 78, 203호 (풍납동)",02-483-0075,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQwMyQ0NjE0ODEjNDEjJDEjJDQjJDgz,,,
S아이니의원,"서울특별시 구로구 도림로 90, 혜성빌딩 5층 (구로동)",02-857-8812,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzIxIyQxIyQ1IyQ3MiQzNjEwMDIjNjEjJDEjJDAjJDgz,,,
WE(더블유이)의원,"서울특별시 영등포구 양평로 22, 당산타워 7층 (당산동6가)",02-518-0045,http://www.we-clinic.co.kr,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQ1IyQxMyQyNjEwMDIjNDEjJDEjJDgjJDgz,,,
읻다의원,"서울특별시 강남구 도산대로 509, 에스디바이오센서 3층 (청담동)",02-3442-7588,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQyIyQzIyQwMCQzNjE0ODEjNTEjJDEjJDIjJDgz,,,
가미의원,"서울특별시 송파구 오금로 176, 지인빌딩 3층 (송파동)",02-416-6700,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzMxIyQxIyQ3IyQxMyQ0NjE0ODEjNTEjJDEjJDIjJDgz,,,
가산연합의원,"서울특별시 금천구 가산디지털1로 186, 제이플라츠 403호 (가산동)",02-1666-2500,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQxMyQyNjE4MzIjNDEjJDEjJDQjJDgz,,,
가야성모의원,"서울특별시 서초구 동광로18길 55, 2층 (방배동)",532-2345,www.gymaryclinic.com/,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzMxIyQxIyQzIyQ4MiQzNjE4MzIjODEjJDEjJDYjJDgz,,,
가족건강의원,"서울특별시 도봉구 해등로 218, (쌍문동)",02-903-1556,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQzIyQ5OSQyNjE4MzIjNzEjJDEjJDgjJDgz,,,
강남 리쥬엘의원,"서울특별시 서초구 강남대로 403, 8층 (서초동)",02-537-8889,https://gangnam.rejuel.com/,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ5MiQ0NjEwMDIjNjEjJDEjJDQjJDgz,,,
강남12의원,"서울특별시 강남구 테헤란로 111, 4층 (역삼동, 대건빌딩)",02-567-3000,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQyIyQ5IyQwMCQzNjEwMDIjNDEjJDEjJDgjJDgz,,,
강남고운세상피부과의원,"서울특별시 강남구 테헤란로2길 8, 3층 (역삼동)",02-3477-2020,http://www.beautyforever.co.kr,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQ3MiQzNjE4MzIjNTEjJDEjJDYjJDgz,,,
강남다움의원,"서울특별시 서초구 강남대로 419, 파고다타워 지하2층 (서초동)",02-6557-7701,https://gd-clinic.com,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzIxIyQxIyQ5IyQ4OSQzNjEyMjIjNDEjJDEjJDgjJDgz,,,
강남닥터에버스의원,"서울특별시 강남구 강남대로 458, 남영빌딩 8~9층 (역삼동)",02-2138-0777,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQxIyQxIyQ3OSQyNjE0ODEjNjEjJDEjJDAjJDgz,,,
강남더슬림의원,"서울특별시 서초구 신반포로 315, 삼덕빌딩 4층 (잠원동)",02-547-9877,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzExIyQyIyQ3IyQwMCQyNjEwMDIjNjEjJDEjJDAjJDgz,,,
강남더의원,"서울특별시 강남구 학동로 342, 에스케이 허브블루 4층 404호 (논현동)",0507-1327-7975,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQ2MiQyNjE4MzIjODEjJDEjJDIjJDgz,,,
강남라렌의원,"서울특별시 강남구 강남대로 378, 준빌딩 10층 (역삼동)",02-894-7781,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzExIyQxIyQzIyQxMyQ0NjE0ODEjNjEjJDEjJDAjJDgz,,,
강남라해의원,"서울특별시 강남구 강남대로 548, 건우빌딩 7층 (논현동)",02-598-0612,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzIxIyQxIyQ5IyQ3MiQyNjE4MzIjNDEjJDEjJDQjJDgz,,,
강남로미모의원,"서울특별시 강남구 테헤란로 107, 비전타워 11층 (역삼동)",02-566-6623,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzIxIyQxIyQ5IyQ4OSQ0NjE0ODEjODEjJDEjJDIjJDgz,,,
강남리슬림의원,"서울특별시 서초구 강남대로 435, 주류성빌딩 14층 (서초동)",02-536-3962,http://reslim.co.kr,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzUxIyQxIyQ1IyQ4OSQyNjE0ODEjODEjJDEjJDIjJDgz,,,
강남리즈의료생활협동조합 강남리즈의원,"서울특별시 구로구 도림로23길 2, 한호빌딩 2층 (구로동)",863-0075,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzMxIyQxIyQ3IyQ3OSQyNjEwMDIjNTEjJDEjJDYjJDgz,,,
강남메이퓨어의원,"서울특별시 강남구 역삼로1길 18, 3층 일부층 (역삼동)",02-6959-5676,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ4OSQyNjE4MzIjNTEjJDEjJDIjJDgz,,,
강남미앤미의원,"서울특별시 서초구 강남대로 439, 유화빌딩 8층 901호 (서초동)",02-567-1102,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzExIyQxIyQ3IyQwMyQzNjE4MzIjNTEjJDEjJDIjJDgz,,,
강남미의원,"서울특별시 강남구 테헤란로 128, 6층 (역삼동, 성곡빌딩)",564-7328,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzIxIyQxIyQ5IyQ3MiQzNjEwMDIjNjEjJDEjJDAjJDgz,,,
강남미켈란의원,"서울특별시 강남구 도산대로 521, 3층 (청담동)",02-540-0808,http://www.mhair.co.kr,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQ5OSQzNjE4MzIjNDEjJDEjJDgjJDgz,,,
강남미토셀의원,"서울특별시 강남구 언주로 411, 기산빌딩 2~5층 (역삼동)",02-569-0678,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzIxIyQxIyQxIyQ3MiQyNjEyMjIjNDEjJDEjJDQjJDgz,,,
강남밴스의원,"서울특별시 서초구 강남대로 411, 12~13층 (서초동)",,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzIxIyQxIyQ5IyQ5OSQ0NjEwMDIjNTEjJDEjJDIjJDgz,,,
강남뷰티의원,"서울특별시 강남구 강남대로 478, 제우빌딩 5,6층 (논현동)",02-562-8000,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzQxIyQxIyQ3IyQ3OSQzNjEyMjIjNDEjJDEjJDgjJDgz,,,
강남브엘의원,"서울특별시 강남구 봉은사로 111, 8층 (논현동)",02-517-3777,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzIxIyQxIyQ5IyQ2MiQyNjEyMjIjNDEjJDEjJDQjJDgz,,,
강남브이에스(VS)라인의원,"서울특별시 강남구 테헤란로 107, 메디타워 3층 (역삼동)",02-535-1312,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQwMyQyNjEyMjIjNjEjJDEjJDAjJDgz,,,
강남비비의원,"서울특별시 서초구 서초대로77길 5, 4층 (서초동)",,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzExIyQxIyQzIyQxMyQ0NjEwMDIjNTEjJDEjJDIjJDgz,,,
강남비앤비의원,"서울특별시 강남구 강남대로 616, 신사미타워 9층 901호 (신사동)",02-544-6633,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQxMyQyNjE4MzIjNjEjJDEjJDAjJDgz,,,
강남셀리팅의원,"서울특별시 강남구 테헤란로 121, 11층, 13층 1101, 1301호(역삼동, 원빌딩) (역삼동)",02-555-1382,http://www.picasoskin.com,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzUxIyQxIyQxIyQ3MiQzNjEyMjIjNDEjJDEjJDgjJDgz,,,
강남스마일의원,"서울특별시 강남구 선릉로 309, SJ빌딩 4층 (역삼동)",02-501-7533,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQ3MiQzNjE4MzIjNjEjJDEjJDAjJDgz,,,
강남신사세라미크의원,"서울특별시 강남구 도산대로 150, 지하2층 (논현동)",02-,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzMxIyQxIyQzIyQ4OSQzNjE4MzIjNjEjJDEjJDQjJDgz,,,
강남아이디의원,"서울특별시 서초구 강남대로 437, 대원빌딩 11층 (서초동)",02-862-7556,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzMxIyQxIyQzIyQ3OSQyNjE4MzIjNDEjJDEjJDQjJDgz,,,
강남엔비의원,"서울특별시 서초구 서초대로77길 17, BLOCK77 8층 801호 (서초동)",02-1661-5541,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzQxIyQxIyQ3IyQ2MiQyNjEyMjIjODEjJDEjJDIjJDgz,,,
강남역데이원의원,"서울특별시 서초구 강남대로 423, 한승빌딩 4층 402호 (서초동)",02-594-5001,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzIxIyQxIyQxIyQ5OSQyNjE0ODEjNDEjJDEjJDgjJDgz,,,
강남연세라인의원,"서울특별시 강남구 테헤란로 101, 4층 (역삼동, 이즈타워)",02-563-2060,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzExIyQxIyQ3IyQ4MiQyNjEyMjIjNTEjJDEjJDYjJDgz,,,
강남우리집의원,"서울특별시 강남구 개포로 229, 정원빌딩 2층 4호 (개포동)",2291-8885,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzQxIyQxIyQ3IyQ5OSQzNjE4MzIjNDEjJDEjJDgjJDgz,,,
강남우태하피부과의원,"서울특별시 강남구 강남대로 370, 5층 (역삼동, 강남클리닉빌딩)",02-567-1675,http://wooskin.co.kr/2014_wooskin/,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzIxIyQyIyQxIyQwMCQzNjE4MzIjNjEjJDEjJDgjJDgz,,,
강남원의원,"서울특별시 강남구 자곡로 180, 강남유탑유블레스 1층 109, 109-2호 (자곡동)",02-6927-1655,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ4OSQ0NjEwMDIjODEjJDEjJDIjJDgz,,,
강남웰남성의원,"서울특별시 강남구 테헤란로51길 10, 정다운빌딩 4층일부 (역삼동)",02-554-1203,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzExIyQxIyQ3IyQ5MiQzNjE0ODEjNjEjJDEjJDgjJDgz,,,
강남유앤아이의원,"서울특별시 강남구 강남대로 470, 808타워 6층 (역삼동)",02-6927-6022,http://www.uni114.co.kr,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzMxIyQxIyQ3IyQ3OSQ0NjE0ODEjNjEjJDEjJDQjJDgz,,,
강남의원,"서울특별시 종로구 자하문로 58, 4층 (창성동, 강락빌딩)",02-737-2880,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQzIyQ5MiQzNjEyMjIjODEjJDEjJDIjJDgz,,,
강남의원,"서울특별시 강북구 오현로32길 4-8, (번동, 동보프라자빌딩)",02-987-1124,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzIxIyQxIyQ1IyQ2MiQ0NjEwMDIjNjEjJDEjJDgjJDgz,,,
강남의원,"서울특별시 송파구 마천로51길 2, 2층 (마천동, 수정빌딩)",02-408-7999,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzIxIyQxIyQ5IyQ3OSQyNjEyMjIjNTEjJDEjJDYjJDgz,,,
강남킴스의원,"서울특별시 서초구 잠원로3길 40, 태남홀딩스 304, 305호 (잠원동)",02-532-5975,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQ4MiQzNjE0ODEjNzEjJDEjJDgjJDgz,,,
강남타임의원,"서울특별시 강남구 강남대로 476, urbanhive 9층 (논현동)",02-6353-0572,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzMxIyQxIyQ3IyQ4OSQzNjE4MzIjNDEjJDEjJDgjJDgz,,,
강남펜타힐의원,"서울특별시 서초구 강남대로 349, 우남빌딩 4,10층 (서초동)",1899-2536,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzUxIyQxIyQ1IyQ4OSQyNjE0ODEjNDEjJDEjJDgjJDgz,,,
강남플랜에스의원,"서울특별시 강남구 강남대로 408, YBM강남센터 B1,2층 (역삼동)",02-2135-6365,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQxMyQzNjEyMjIjNDEjJDEjJDQjJDgz,,,
강남피어리의원,"서울특별시 강남구 강남대로 590, 10층 (논현동, 미혜빌딩)",02-515-0202,http://www.periclinic.com/,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzMxIyQxIyQ3IyQ4OSQzNjE4MzIjNjEjJDEjJDAjJDgz,,,
강남피어봄의원,"서울특별시 서초구 강남대로 365, 대우도씨에빛 1차 3층 301, 302호 (서초동)",02-1644-8343,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzIxIyQxIyQ1IyQ5MiQzNjE4MzIjNjEjJDEjJDgjJDgz,,,
강남하트스캔의원,"서울특별시 강남구 테헤란로114길 38, 동일타워 지하1층 (대치동)",564-3070,http://www.heartscan.co.kr/,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzExIyQxIyQzIyQ5OSQzNjE0ODEjNjEjJDEjJDgjJDgz,,,
